city,population,"violent crime","murder and nonnegligent manslaughter","rape (revised definition)","rape (legacy definition)",robbery,"aggravated assault","property crime",burglary,"larceny-theft","motor vehicle theft",arson
Jonestown,2024,9,0,0,0,2,7,43,7,35,1,0
Joshua,5966,15,0,0,1,0,14,102,25,69,8,1
Jourdanton,4111,2,0,0,0,0,2,4,0,4,0,0
Junction,2539,6,0,0,0,0,6,36,11,25,0,0
Karnes City,3201,6,0,0,0,0,6,76,20,55,1,0
Katy,14837,38,2,7,0,12,17,490,63,398,29,1
Kaufman,6865,12,1,0,0,5,6,123,48,68,7,0
Keene,6071,4,0,0,0,0,4,109,26,77,6,2
Keller,42644,27,1,0,5,9,12,390,76,312,2,0
Kenedy,3423,8,0,0,0,0,8,219,64,152,3,0
Kennedale,7156,11,0,0,0,6,5,177,40,117,20,0
Kermit,5956,18,0,0,0,0,18,31,6,19,6,0
Kerrville,22484,48,3,0,7,8,30,669,90,555,24,0
Kilgore,13938,53,2,0,9,5,37,660,116,510,34,2
Killeen,136539,753,6,0,78,170,499,4791,1396,3189,206,50
Kingsville,26198,103,1,0,3,19,80,963,281,658,24,2
Kirby,8288,49,3,0,1,3,42,188,50,118,20,2
Kirbyville,2158,5,0,0,0,0,5,32,9,20,3,0
Kountze,2088,11,0,0,0,1,10,46,13,32,1,0
Kress,721,0,0,0,0,0,0,2,0,2,0,0
Kyle,31732,90,0,0,12,6,72,491,75,384,32,1
Lacy-Lakeview,6566,38,0,0,8,4,26,247,72,161,14,2
La Feria,7340,7,0,0,3,2,2,305,98,207,0,0
Lago Vista,6550,14,1,0,1,1,11,85,16,69,0,0
La Grange,4656,4,1,0,0,0,3,58,15,36,7,0
La Grulla,1639,5,0,0,0,0,5,9,8,1,0,0
Laguna Vista,3179,4,0,0,0,0,4,48,15,31,2,0
La Joya,4153,6,0,0,0,0,6,27,23,4,0,0
Lake Dallas,7390,15,0,0,1,0,14,142,24,106,12,1
Lake Jackson,27273,40,1,0,9,12,18,589,125,445,19,2
Lakeside,1357,7,0,0,0,1,6,29,12,15,2,0
"Lakeview, Harris County",6413,10,1,0,0,0,9,71,16,52,3,4
Lakeway,12815,16,0,0,2,2,12,166,25,131,10,0
Lake Worth,4710,14,0,0,0,8,6,527,124,387,16,0
La Marque,14976,70,1,0,5,26,38,960,161,748,51,3
Lamesa,9136,44,0,0,5,1,38,414,96,298,20,3
Lampasas,6899,20,0,0,3,2,15,286,48,232,6,1
Lancaster,38209,179,2,23,0,59,95,1533,533,848,152,6
La Porte,34671,40,0,0,12,9,19,593,117,433,43,7
Laredo,247353,1027,3,0,75,207,742,10482,1425,8685,372,82
La Vernia,1137,3,0,0,0,0,3,44,2,42,0,0
La Villa,1978,0,0,0,0,0,0,17,13,3,1,0
Lavon,2318,1,0,0,0,0,1,17,3,14,0,0
League City,89596,96,2,0,14,22,58,1918,386,1476,56,1
Leander,30657,26,0,0,2,4,20,336,44,277,15,2
Leon Valley,10833,26,0,0,7,9,10,826,91,670,65,0
Levelland,13681,67,0,0,13,8,46,546,160,362,24,1
Lewisville,100710,243,1,48,0,74,120,2721,501,1921,299,4
Lexington,1170,6,0,0,2,0,4,61,15,46,0,0
Liberty,8857,46,1,0,10,7,28,553,92,447,14,1
Lindale,5257,16,0,2,0,6,8,186,45,132,9,0
Linden,1964,6,0,0,2,1,3,52,17,34,1,0
Little Elm,29958,48,1,0,19,6,22,346,78,255,13,2
Littlefield,6368,30,0,0,0,6,24,239,93,143,3,5
Live Oak,14541,45,1,0,7,10,27,680,48,580,52,1
Livingston,5207,43,0,0,5,7,31,309,37,262,10,1
Llano,3249,0,0,0,0,0,0,77,29,43,5,1
Lockhart,12971,45,1,0,7,5,32,425,91,322,12,1
Lone Star,1553,6,0,0,1,2,3,61,16,43,2,0
Longview,81273,451,5,39,0,152,255,3372,630,2542,200,11
Lorena,1709,1,0,0,0,0,1,28,6,20,2,0
Lorenzo,1180,2,0,0,0,0,2,8,7,1,0,0
Los Fresnos,5800,7,0,0,3,0,4,158,47,106,5,1
Lubbock,237875,1829,5,0,88,388,1348,11557,2608,8103,846,37
Luling,5612,29,0,0,3,5,21,108,18,85,5,0
Lumberton,12081,25,0,7,0,4,14,244,46,193,5,0
Lyford,2611,1,0,0,0,0,1,44,18,22,4,0
Lytle,2665,0,0,0,0,0,0,176,19,153,4,2
Madisonville,4452,17,0,0,0,2,15,113,23,81,9,0
Magnolia,1490,9,0,0,0,4,5,43,9,31,3,0
Malakoff,2327,13,0,0,0,0,13,62,19,38,5,0
Manor,6137,15,0,0,3,0,12,95,22,68,5,1
Mansfield,60179,80,1,0,16,23,40,1042,181,812,49,0
Manvel,6381,6,0,0,0,0,6,110,54,44,12,0
Marble Falls,6095,28,0,9,0,4,15,362,40,313,9,1
Marlin,5847,17,0,0,2,2,13,47,18,26,3,1
Marshall,25169,141,3,0,18,16,104,1078,242,792,44,8
Martindale,1145,4,0,0,0,0,4,6,4,1,1,0
Mathis,4989,25,0,0,2,0,23,135,44,85,6,0
McAllen,136169,171,2,0,6,83,80,5424,536,4652,236,15
McGregor,5036,7,0,0,1,1,5,76,14,60,2,0
McKinney,146869,207,1,52,0,44,110,3055,476,2450,129,26
Meadows Place,4721,7,0,0,0,4,3,126,23,93,10,0
Melissa,5839,1,1,0,0,0,0,65,20,41,4,0
Memorial Villages,11660,5,0,0,2,2,1,113,26,81,6,0
Memphis,2232,6,0,0,1,0,5,25,8,15,2,0
Mercedes,16480,106,0,0,5,13,88,796,132,623,41,1
Meridian,1484,0,0,0,0,0,0,1,0,1,0,0
Merkel,2608,5,0,0,0,0,5,34,14,18,2,0
Mesquite,144313,402,6,0,14,204,178,6332,1382,4184,766,11
Mexia,7544,42,1,0,2,6,33,328,77,248,3,1
Midland,122259,350,5,0,22,63,260,3191,568,2459,164,1
Midlothian,19425,25,0,0,3,5,17,361,70,275,16,1
Mineola,4485,19,0,0,0,3,16,188,31,154,3,0
Mineral Wells,16717,55,0,0,5,16,34,872,221,610,41,2
Mission,81360,72,0,0,4,32,36,2945,447,2321,177,20
Missouri City,69487,72,0,0,5,35,32,1151,186,889,76,0
Monahans,7163,30,0,0,3,1,26,185,57,127,1,3
Mont Belvieu,4366,9,0,0,2,1,6,121,12,84,25,0
Montgomery,670,1,0,0,0,0,1,16,5,10,1,0
Morgans Point Resort,4257,2,0,0,0,0,2,40,14,26,0,0
Moulton,898,1,0,0,0,0,1,10,3,7,0,0
Mount Pleasant,16101,41,0,0,0,8,33,661,155,486,20,7
Muleshoe,5121,4,0,0,0,0,4,51,10,39,2,0
Munday,1331,2,0,0,0,0,2,10,3,6,1,0
Murphy,19347,4,0,0,0,1,3,122,11,111,0,0
Mustang Ridge,939,0,0,0,0,0,0,16,4,10,2,0
Nacogdoches,34413,97,1,0,3,31,62,1126,257,828,41,2
Naples,1357,1,0,0,0,0,1,50,31,18,1,0
Nash,3076,9,0,0,0,0,9,67,25,39,3,1
Nassau Bay,4092,17,0,0,3,1,13,101,18,77,6,0
Navasota,7239,77,0,0,1,2,74,219,53,143,23,2
Nederland,17464,58,2,0,4,11,41,493,112,349,32,3
Needville,2879,11,0,0,1,0,10,22,6,15,1,0
New Boston,4507,9,0,0,1,1,7,221,53,161,7,0
New Braunfels,61651,147,3,0,16,24,104,2153,351,1673,129,11
Nocona,2996,2,0,0,1,1,0,25,9,13,3,0
Nolanville,4483,22,0,0,0,1,21,76,21,55,0,1
Northlake,1897,7,0,0,1,0,6,36,6,27,3,1
North Richland Hills,65899,157,1,0,21,35,100,1637,283,1276,78,3
Oak Ridge,168,2,0,0,0,0,2,0,0,0,0,0
Odessa,108265,1080,2,0,56,143,879,4374,764,3147,463,13
O'Donnell,809,0,0,0,0,0,0,2,0,0,2,0
Olmos Park,2314,1,0,0,0,1,0,52,7,41,4,0
Olney,3221,3,0,0,0,0,3,40,9,30,1,2
Olton,2234,8,0,0,0,0,8,21,11,10,0,0
Omaha,1012,3,0,0,0,2,1,21,10,10,1,0
Onalaska,1724,16,0,0,2,8,6,62,19,37,6,2
Orange,19057,111,4,0,1,30,76,577,236,299,42,0
Orange Grove,1357,1,0,0,0,0,1,15,5,10,0,0
Overton,2580,7,0,0,2,0,5,61,21,39,1,0
Ovilla,3535,4,0,0,0,1,3,33,7,25,1,1
Oyster Creek,1124,14,1,0,0,0,13,50,19,27,4,0
Paducah,1164,2,0,0,1,0,1,3,2,1,0,0
Palacios,4666,4,0,0,0,3,1,157,66,84,7,3
Palestine,18458,113,1,0,15,31,66,1107,217,841,49,0
Palmer,2023,2,0,0,0,1,1,28,12,16,0,0
Palmhurst,2698,2,1,0,0,0,1,259,16,242,1,0
Palm Valley,1311,0,0,0,0,0,0,27,4,22,1,0
Palmview,5625,25,0,0,5,1,19,355,59,279,17,1
Pampa,18471,186,1,0,0,7,178,716,126,552,38,2
Panhandle,2438,5,0,0,0,0,5,7,3,3,1,0
Pantego,2483,14,0,0,0,2,12,112,12,97,3,0
Paris,25048,170,5,0,5,28,132,1219,314,866,39,0
Parker,4205,5,0,0,0,0,5,18,4,14,0,0
Pasadena,153195,592,3,0,52,192,345,5501,1011,3980,510,25
Pearland,98183,152,1,34,0,29,88,1928,287,1541,100,1
Pearsall,9488,8,0,0,0,1,7,249,69,177,3,2
Pecos,8786,12,0,0,0,5,7,146,25,112,9,0
